,Complaint Number,Complaint Location Address,Complaint Location City,Complaint Location Zip Code,Vehicle or Stationary,Air Complaint Source Info,Date and Time of Occurrence
795,COMP‐33336,nan,Milpitas,95035,Stationary Source,Odors,11/24/2017 16:00
796,COMP‐33342,nan,Ventura,93001,Stationary Source,Dust,11/22/2017 12:00
797,COMP‐33363,nan,Downieville,95936,nan,nan,11/8/2017 16:00
798,COMP‐33368,nan,Milpitas,95035,Stationary Source,Odors,11/27/2017 7:00
799,COMP‐33376,6465 Meadow Pines Avenue,Rohnert Park,94928,nan,nan,11/15/2017 16:00
800,COMP‐33380,1111 Wagner Drive,El Cajon,92020,Stationary Source,Painting,nan
801,COMP‐33384,98 Trailwood,Irvine,92620,Vehicle,Trucks,11/2/2017 5:00
802,COMP‐33386,nan,nan,nan,Stationary Source,Asbestos,10/16/2017 5:15
803,COMP‐33394,32610 Los Encinos Drive,Temecula,92592,Stationary Source,Painting,nan
804,COMP‐33397,7001 Canby Avenue,Los Angeles,91335,Stationary Source,Painting,11/30/2017 16:00
805,COMP‐33408,3268 Hannah Street,Oakland,94608,Stationary Source,Odors,12/3/2017 16:00
806,COMP‐33412,2900 Peralta Street,Oakland,94608,nan,nan,12/3/2017 16:00
807,COMP‐33419,nan,Hesperia,92345,Stationary Source,nan,11/19/2017 16:00
808,COMP‐33425,1136 East Elm Avenue,Fullerton,92831,Stationary Source,Dust,12/5/2017 7:00
809,COMP‐34257,nan,Huntington Beach,92646,Vehicle,Trucks,12/5/2017 2:00
810,COMP‐34259,Orange County,nan,nan,Vehicle,Trucks,12/6/2017 16:00
811,COMP‐35924,nan,Jurupa Valley,91752,Stationary Source,Dust,12/4/2017 16:00
812,COMP‐35931,nan,Jurupa Valley,91752,Stationary Source,Dust,12/4/2017 16:00
813,COMP‐35934,3688 Mears Avenue,Riverside,92509,nan,nan,12/8/2017 16:00
814,COMP‐35943,7002 Canby Avenue,Los Angeles,91335,Stationary Source,Painting,11/29/2017 10:45
815,COMP‐35947,899 Pierce Street,Albany,94706,Stationary Source,Odors,12/10/2017 16:00
816,COMP‐35956,1136 East Elm Avenue,Fullerton,92831,Stationary Source,Dust,12/12/2017 6:45
817,COMP‐35962,777 Aston Avenue,Santa Rosa,95404,Stationary Source,Other Stationary Sources,12/12/2017 16:00
818,COMP‐35964,368 Morningside Terrace,Palmdale,93551,Vehicle,Other Vehicles,12/8/2017 16:00
819,COMP‐35966,nan,Yuba City,95993,Stationary Source,Smoke,nan
820,COMP‐35972,1309 Cornell Avenue,Berkeley,94702,Stationary Source,Odors,nan
821,COMP‐35974,2930 Grace Lane,Costa Mesa,92626,Stationary Source,Painting,12/13/2017 16:00
822,COMP‐35979,2606 North Ventura Avenue,Ventura,93001,Stationary Source,Painting,12/14/2017 16:00
823,COMP‐36003,nan,San Luis Obispo,93403,nan,nan,12/18/2017 16:00
824,COMP‐36011,1414 Paseo Ladera Lane,Arroyo Grande,93420,nan,nan,nan
825,COMP‐36028,nan,nan,nan,Vehicle,nan,12/19/2017 16:00
826,COMP‐36041,nan,Hayfork,96041,Stationary Source,Smoke,12/20/2017 16:00
827,COMP‐36046,nan,Hayfork,96041,Stationary Source,Smoke,12/20/2017 16:00
828,COMP‐36065,nan,nan,nan,Stationary Source,Odors,12/26/2017 16:00
829,COMP‐36070,nan,nan,nan,Stationary Source,Other Stationary Sources,12/21/2017 6:00
830,COMP‐36078,1965 Camargo Drive,San Jose,95132,Stationary Source,Odors,12/28/2017 8:45
831,COMP‐36085,22 Cache Street,Ladera Ranch,92694,nan,nan,12/28/2017 16:00
832,COMP‐36087,nan,Ladera Ranch,92694,nan,nan,12/28/2017 16:00
833,COMP‐36091,nan,San Ramon,94583,Vehicle,Trucks,12/27/2017 4:00
834,COMP‐36093,nan,Grover Beach,93433,Vehicle,Cars,12/29/2017 19:00
835,COMP‐36104,nan,Sacramento,95820,nan,nan,nan
836,COMP‐36127,nan,Santa Rosa,95404,Stationary Source,Other Stationary Sources,12/29/2017 0:30
837,COMP‐36131,71680 Estellita Drive,Rancho Mirage,92270,Vehicle,Trucks,1/2/2018 16:00
838,COMP‐36133,11350 Kiefer Boulevard,Sacramento,95830,Stationary Source,nan,1/2/2018 16:00
839,COMP‐36141,15110 California Avenue,Paramount,90723,Stationary Source,Odors,12/31/2016 16:00
840,COMP‐36147,508 Todhunter Avenue,West Sacramento,95605,nan,nan,1/3/2018 16:00
841,COMP‐36172,12 Delphinium Street,Mission Viejo,92694,Stationary Source,Other Stationary Sources,1/5/2018 5:00
842,COMP‐36177,16838 18th Avenue,Lemoore,93245,nan,nan,1/5/2018 16:00
843,COMP‐36220,1331 C Street,Sacramento,95814,Vehicle,Other Vehicles,1/10/2018 0:00
844,COMP‐36224,1331 C Street,Sacramento,95814,Stationary Source,Painting,1/12/2018 0:00
845,COMP‐36235,4228 Rutgers Avenue,Long Beach,90808,nan,nan,1/11/2018 16:00
846,COMP‐36248,12629 Riverside Drive,Los Angeles,91607,Stationary Source,Odors,1/14/2018 16:00
847,COMP‐36257,1940‐1998 Century Way,Escondido,92026,Stationary Source,Odors,12/13/2017 1:00
848,COMP‐36262,1940‐1998 Century Way,Escondido,92026,Stationary Source,Odors,12/13/2017 1:00
849,COMP‐36292,1399 Roundhouse Street,San Luis Obispo,93401,Stationary Source,Smoke,12/13/2017 16:00
850,COMP‐36324,10189 Foothill Boulevard,Los Angeles,91342,Stationary Source,Dust,1/18/2018 16:45
851,COMP‐36384,629 Traction Avenue,Los Angeles,90013,nan,nan,12/21/2017 16:00
852,COMP‐36390,5317 Mossy Stone Way,Rancho Cordova,95742,nan,nan,1/25/2018 16:00
853,COMP‐36394,2650 West Andrews,Fresno,93705,nan,nan,1/27/2018 9:00
854,COMP‐36401,2137 East 55th Street,Vernon,90058,nan,nan,nan
855,COMP‐36406,23927 Sapphire Canyon Road,Diamond Bar,91765,Stationary Source,Asbestos,1/9/2018 8:00
856,COMP‐36410,nan,San Diego,nan,Vehicle,Trucks,1/29/2018 16:00
857,COMP‐36420,2305 South Madsen Avenue,Sanger,93657,Stationary Source,Smoke,1/29/2018 16:00
858,COMP‐36424,nan,San Diego,92120,Stationary Source,Dust,nan
859,COMP‐36431,17440 Burbank Boulevard,Los Angeles,91316,Stationary Source,Dust,1/30/2018 16:00
860,COMP‐36445,22029 Canon Drive,Topanga,90290,Vehicle,Cars,1/30/2018 16:00
861,COMP‐36456,Augustine Pass Road,nan,nan,nan,nan,1/31/2018 16:00
862,COMP‐36458,1965 Camargo Drive,San Jose,95132,Stationary Source,Odors,2/1/2018 9:00
863,COMP‐36470,nan,Oakland,94608,Stationary Source,Dust,10/31/2017 16:59
864,COMP‐36476,2850 Poplar Street,Oakland,94608,Stationary Source,Dust,nan
865,COMP‐36489,13820 Isis Avenue,Hawthorne,90250,nan,nan,2/4/2018 3:00
866,COMP‐36497,3100 Gilman Drive,San Diego,92093,Stationary Source,Other Stationary Sources,1/28/2018 16:00
867,COMP‐36507,1134 Manor Street,Bakersfield,93308,Stationary Source,Odors,2/5/2018 16:00
868,COMP‐36509,403 Foothill Road,Beverly Hills,90210,Stationary Source,Odors,2/5/2018 16:00
869,COMP‐36521,45446 7th Street East,Lancaster,93535,nan,nan,1/30/2018 16:00
870,COMP‐36540,4847 138th Street,Hawthorne,90250,Stationary Source,Odors,nan
871,COMP‐36542,44291 South Heritage Palms Drive,Indio,92201,Vehicle,Trucks,2/7/2018 3:30
872,COMP‐36548,5099 West Exposition Boulevard,Los Angeles,90016,nan,nan,10/24/2017 3:00
873,COMP‐36555,7974 Haven Avenue,Rancho Cucamonga,91730,Vehicle,Trucks,1/17/2018 11:00
874,COMP‐36557,3221 Riverside Avenue,Rialto,92377,Stationary Source,Smoke,nan
875,COMP‐36559,25220 Quarry Road,Apple Valley,92307,Stationary Source,Other Stationary Sources,nan
876,COMP‐36561,237 South Perris Boulevard,Perris,92570,Stationary Source,Dust,nan
877,COMP‐36563,540 Diaz Avenue,Oxnard,93030,Stationary Source,Dust,nan
878,COMP‐36576,1965 Camargo Drive,San Jose,95132,Stationary Source,Odors,2/8/2018 8:30
879,COMP‐36580,nan,Hemet,nan,Stationary Source,Dust,2/8/2018 16:00
880,COMP‐36587,nan,Boron,93516,Stationary Source,Dust,nan
881,COMP‐36610,5500 Date Avenue,Sacramento,95842,Stationary Source,Smoke,2/7/2018 16:00
882,COMP‐36617,16540 Railroad Avenue,Morgan Hill,95037,Vehicle,Cars,2/12/2018 6:00
883,COMP‐36624,nan,nan,nan,Vehicle,Trucks,12/18/2017 4:24
884,COMP‐36629,1010 2nd Avenue,San Diego,92101,nan,nan,nan
885,COMP‐36631,nan,nan,nan,Vehicle,Trucks,2/12/2018 16:00
886,COMP‐36640,nan,nan,nan,Vehicle,Trucks,2/2/2018 8:00
887,COMP‐36651,20784 Wildwood West Drive,Penn Valley,95946,Vehicle,Trucks,2/13/2018 16:00
888,COMP‐36653,nan,Sacramento,95825,Stationary Source,Other Stationary Sources,2/12/2018 16:00
889,COMP‐36661,17624 Baltar Street ,Los Angeles,91325,Stationary Source,Smoke,nan
890,COMP‐36667,2507 Wilmington Avenue ,Sacramento,95820,Vehicle,Other Vehicles,nan
891,COMP‐36669,nan,Milpitas,95035,Stationary Source,Odors,nan
892,COMP‐36673,1420 Valley View Road ,Glendale,91202,nan,nan,2/3/2018 3:00
893,COMP‐36677,20232 East Santiago Canyon Road ,Orange,92869,Stationary Source,Smoke,nan
894,COMP‐36679,nan,Orange,92869,Vehicle,Trucks,nan
895,COMP‐36681,Orange County ,nan,nan,Vehicle,Trucks,nan
896,COMP‐36683,70 4th Street,San Francisco,94103,nan,nan,2/18/2018 16:00
897,COMP‐36703,15823 Leadwell Street,Los Angeles,91406,nan,nan,2/19/2018 16:00
898,COMP‐36707,3174 Kennedy Avenue,Chico,95973,nan,nan,2/20/2018 11:00
899,COMP‐40041,nan,Vista,nan,Stationary Source,nan,nan
900,COMP‐40042,2869 Ridgeway Drive,National City,91950,Stationary Source,Smoke,nan
901,COMP‐40043,4463 Gigling Road,Seaside,93955,Stationary Source,Smoke,9/10/2018 17:00
902,COMP‐40045,108 North H Street,Fresno,93701,Stationary Source,nan,9/3/2018 5:00
903,COMP‐40046,nan,Milpitas,95035,Stationary Source,Odors,9/10/2018 11:59
904,COMP‐40056,nan,nan,nan,nan,nan,nan
905,COMP‐40057,nan,nan,nan,nan,nan,nan
906,COMP‐40058,nan,nan,nan,nan,nan,nan
907,COMP‐40059,nan,nan,nan,nan,nan,nan
908,COMP‐40060,1235 De Paul Way,Livermore,94550,Vehicle,Other Vehicles,9/13/2018 17:00
909,COMP‐40062,2145 Grand Avenue,Sacramento,95838,nan,nan,9/13/2018 17:00
910,COMP‐40071,441 Paseo De La Playa,Redondo Beach,90277,Stationary Source,Smoke,9/17/2018 0:50
911,COMP‐40072,324 West El Segundo Boulevard,El Segundo,90245,Stationary Source,Smoke,9/17/2018 1:00
912,COMP‐40073,nan,nan,nan,Stationary Source,Smoke,9/16/2018 17:00
913,COMP‐40079,nan,El Segundo,90245,Stationary Source,Smoke,9/17/2018 1:00
914,COMP‐40081,nan,nan,nan,nan,nan,nan
915,COMP‐40082,324 West El Segundo Boulevard,El Segundo,90245,nan,nan,9/17/2018 2:30
916,COMP‐40083,nan,nan,nan,nan,nan,9/16/2018 17:00
917,COMP‐40087,1864 Millsweet Drive North,Upland,91784,Vehicle,Cars,9/17/2018 17:00
918,COMP‐40095,6808 University Avenue,San Diego,92115,Stationary Source,Odors,9/19/2018 2:00
919,COMP‐40099,nan,Escondido,nan,Stationary Source,Dust,nan
920,COMP‐40101,4638 Pacific Heights Road,Oroville,95965,Stationary Source,Painting,nan
921,COMP‐40105,1245 West 2nd Street,Pomona,91766,Stationary Source,Odors,9/20/2018 17:00
922,COMP‐40106,nan,Larkfield‐Wikiup,95403,Stationary Source,Dust,9/20/2018 17:00
923,COMP‐40112,nan,Milpitas,95035,Stationary Source,Odors,9/21/2018 13:01
924,COMP‐40114,555 East Calaveras Boulevard,Milpitas,95035,Stationary Source,Odors,9/22/2018 1:00
925,COMP‐40120,398 Bayberry Way,Milpitas,95035,Stationary Source,Odors,9/23/2018 13:30
926,COMP‐40228,nan,Milpitas,95035,nan,nan,9/25/2018 13:30
927,COMP‐40230,3765 Capri Road,Thermal,92274,nan,nan,9/25/2018 17:00
928,COMP‐40234,nan,Gilroy,95020,nan,nan,nan
929,COMP‐40239,2424 East Olympic Boulevard,Los Angeles,90021,Stationary Source,nan,8/14/2017 10:00
930,COMP‐40242,8147 West 4th Street,West Hollywood,90048,nan,nan,9/26/2018 17:00
931,COMP‐40343,nan,nan,nan,nan,nan,nan
932,COMP‐40344,nan,nan,nan,nan,nan,nan
933,COMP‐40345,nan,nan,nan,nan,nan,nan
934,COMP‐40346,nan,Pleasanton,nan,nan,nan,nan
935,COMP‐40347,nan,nan,nan,nan,nan,nan
936,COMP‐40349,34466 Via Verde,Dana Point,92624,Stationary Source,Asbestos,9/18/2018 2:00
937,COMP‐40350,34466 Via Verde,Dana Point,92624,Stationary Source,Asbestos,9/18/2018 2:00
938,COMP‐40352,38180 Del Webb Boulevard,Palm Desert,92211,nan,nan,9/27/2018 17:00
939,COMP‐40353,19766 Hansen Avenue,Lakeview,92567,nan,nan,nan
940,COMP‐40354,8333 Swanston Lane,Gilroy,95020,Stationary Source,Dust,9/28/2018 17:00
941,COMP‐40356,45500 Fremont Boulevard,Fremont,94538,Stationary Source,Painting,9/29/2018 5:00
942,COMP‐40363,4380 Clover Flat Road,Calistoga,94515,Vehicle,Off Road Equipment,9/28/2018 7:30
943,COMP‐40365,3703 Easy Avenue,Long Beach,90810,nan,nan,9/30/2018 17:00
944,COMP‐40371,1249 Larimore Avenue,La Puente,91744,Vehicle,Cars,10/2/2018 9:10
945,COMP‐40377,Highway 33,Ventura County,0,Stationary Source,Asbestos,12/7/2017 16:00
946,COMP‐40379,910 El Cajon Boulevard,El Cajon,92020,Stationary Source,Painting,10/3/2018 17:00
947,COMP‐40383,5050 West 106th Street,Lennox,90304,Stationary Source,Other Stationary Sources,10/3/2018 17:00
948,COMP‐40384,nan,nan,nan,nan,nan,nan
949,COMP‐40385,nan,El Monte,91731,Stationary Source,Dust,10/3/2018 12:30
950,COMP‐40396,nan,nan,nan,nan,nan,nan
951,COMP‐40401,1999 Stone Avenue,San Jose,95125,Stationary Source,Dust,10/8/2018 2:00
952,COMP‐40403,13800 Milton Avenue,Westminster,92683,Stationary Source,Asbestos,7/1/2017 5:00
953,COMP‐40404,13800 Milton Avenue,Westminster,92683,Stationary Source,nan,nan
954,COMP‐40408,8001 Beach Street,Los Angeles,90001,Stationary Source,Dust,10/9/2018 12:00
955,COMP‐40415,nan,nan,nan,nan,nan,nan
956,COMP‐08050,Anaheim st,Long Beach,nan,Vehicle,Other Vehicles,4/17/2016 6:00
957,COMP‐08052,All on‐ramps to the freeway system and some freeway to freeway connectors,All Cities,nan,nan,nan,4/14/2016 1:00
958,COMP‐08079,3729 South Van Ness Avenue,Santa Ana,92707,nan,nan,4/16/2016 17:00
959,COMP‐08108,nan,Sanger,93657,nan,nan,4/17/2016 17:00
960,COMP‐08116,nan,Auburn,nan,nan,nan,nan
961,COMP‐08118,"18525 Topham St., Ste D",Los Angeles,91335,nan,nan,4/12/2016 11:27
962,COMP‐08950,1348 W Court St,Los Angeles,90026,Stationary Source,Odors,5/18/2016 10:00
963,COMP‐08960,10410 Rosewood Avenue,South Gate,90280,Stationary Source,Painting,5/24/2016 17:00
964,COMP‐08965,3650 Hogan Dam Road,Valley Springs,95252,Stationary Source,nan,5/24/2016 17:00
965,COMP‐08971,1061 Lofty Peak Ln,Georgetown,95634,Vehicle,nan,5/24/2016 17:00
966,COMP‐08973,nan,Weed,96094,nan,nan,5/18/2016 17:00
967,COMP‐08996,nan,Pacifica,94044,Vehicle,Other Vehicles,5/25/2016 23:00
968,COMP‐09069,nan,nan,nan,nan,nan,nan
969,COMP‐09072,nan,nan,nan,nan,nan,nan
970,COMP‐09075,nan,Denver,80203,nan,nan,5/26/2016 17:00
971,COMP‐09078,nan,Laytonville,95454,nan,nan,5/25/2016 17:00
972,COMP‐09083,nan,Riverside,92507,Stationary Source,Other Stationary Sources,5/26/2016 17:00
973,COMP‐09088,nan,Lakeside,92040,Stationary Source,Odors,5/27/2016 6:00
974,COMP‐09095,nan,Los Angeles,91344,Stationary Source,Odors,nan
975,COMP‐09106,nan,Murrieta,92562,Vehicle,Cars,11/8/2015 4:00
976,COMP‐09112,nan,Murrieta,92562,Vehicle,Cars,11/8/2015 4:00
977,COMP‐09118,37453 Vineyard Knoll Dr,Murrieta,92562,Vehicle,Cars,11/8/2015 4:00
978,COMP‐09124,37453 Vineyard Knoll Dr,Murrieta,92562,Vehicle,Cars,11/8/2015 4:00
979,COMP‐09130,37453 Vineyard Knoll Dr,Murrieta,92562,Vehicle,Cars,11/8/2015 4:00
980,COMP‐09136,37453 Vineyard Knoll Dr,Murrieta,92562,Vehicle,Cars,11/8/2015 4:00
981,COMP‐09144,San Francisco ? Oakland Bay Bridge,San Francisco,nan,Vehicle,nan,5/31/2016 0:21
982,COMP‐09146,7344 Irondale Avenue,Los Angeles,91306,Stationary Source,Asbestos,5/29/2016 17:00
983,COMP‐09149,2850 Silver Queen Rd,Mojave,93501,nan,nan,nan
984,COMP‐12631,Next door to 6330 Union Mine Rd,El Dorado,nan,Stationary Source,Smoke,2/26/2017 16:00
985,COMP‐12640,344 Jefferson Avenue,Sacramento,95833,nan,nan,2/26/2017 16:00
986,COMP‐12988,134 Meadowland Dr.,Milpitas,95035,Stationary Source,Odors,3/1/2017 15:30
987,COMP‐13293,6225 Van Nuys Blvd,Van Nuys,91401,Stationary Source,Painting,nan
988,COMP‐15147,2112 Aguilar Court,Milpitas,95035,Stationary Source,Odors,3/3/2017 3:00
989,COMP‐15154,nan,Vallejo,94590,Stationary Source,Asbestos,3/1/2017 16:00
990,COMP‐15156,14378 Red Hill Avenue,Tustin,92780,nan,nan,1/15/2017 16:00
991,COMP‐15158,4463 Alumni Avenue,Los Angeles,90041,Vehicle,Cars,3/3/2017 16:00
992,COMP‐15165,nan,nan,nan,Stationary Source,Other Stationary Sources,nan
993,COMP‐15168,nan,nan,nan,Stationary Source,Other Stationary Sources,nan
994,COMP‐15181,nan,Livermore,94550,Stationary Source,Other Stationary Sources,nan
995,COMP‐15184,525 North 16th Street,Sacramento,95811,Stationary Source,nan,nan
996,COMP‐15189,525 North 16th Street,Sacramento,95811,Stationary Source,nan,nan
997,COMP‐15428,1010 South El Camino Real,San Clemente,92672,Stationary Source,Gas Stations,3/8/2017 16:00
998,COMP‐15433,1080 Navigator Drive,Ventura,93001,Vehicle,Other Vehicles,3/8/2017 16:00
999,COMP‐15442,1316 National City Boulevard,National City,91950,Stationary Source,Painting,nan
1000,COMP‐15477,8425 Wilbur Avenue,Los Angeles,91324,Vehicle,Trucks,3/13/2017 23:00
1001,COMP‐15500,nan,nan,nan,Stationary Source,Other Stationary Sources,3/13/2017 17:00
1002,COMP‐15506,nan,nan,nan,Stationary Source,Other Stationary Sources,3/13/2017 17:00
1003,COMP‐15521,nan,North Fork,93643,Stationary Source,Smoke,3/14/2017 19:25
1004,COMP‐15831,nan,Thermal,92274,Stationary Source,Odors,3/16/2017 17:00
1005,COMP‐15834,12711 Elizabeth Way ,Tustin,92780,Stationary Source,nan,3/16/2017 17:00
1006,COMP‐15859,nan,Placentia,92870,Stationary Source,Asbestos,2/26/2017 0:00
1007,COMP‐15895,1736 5th Street ,Concord,94519,nan,nan,3/20/2017 17:00
1008,COMP‐15900,1759 Euclid Avenue ,San Diego,92105,Vehicle,Cars,5/24/2014 8:00
1009,COMP‐15917,14382 Red Hill Avenue ,Tustin,92780,nan,nan,3/19/2017 13:00
1010,COMP‐15919,8100 Balboa Place,Los Angeles,91406,Stationary Source,Dust,10/31/2014 17:00
1011,COMP‐15948,868 North M Street,Tulare,93274,Stationary Source,Other Stationary Sources,nan
1012,COMP‐16247,950 Linden Avenue,Gustine,95322,Stationary Source,Smoke,3/28/2017 1:00
1013,COMP‐16254,845 Imperial Beach Boulevard,Imperial Beach,91932,Stationary Source,Odors,nan
1014,COMP‐16259,1685 Main Street,Santa Monica,90401,Vehicle,Other Vehicles,1/29/2017 16:00
1015,COMP‐16274,nan,Imperial Beach,91932,nan,nan,3/19/2017 9:00
1016,COMP‐16284,nan,Imperial Beach,91932,nan,nan,nan
1017,COMP‐16292,nan,Imperial Beach,91932,nan,nan,3/29/2017 17:00
1018,COMP‐16302,nan,Imperial Beach,91932,Stationary Source,Odors,3/29/2017 17:00
1019,COMP‐16304,nan,Imperial Beach,91932,nan,nan,nan
1020,COMP‐16311,nan,Imperial Beach,91932,Stationary Source,Odors,3/28/2017 14:30
1021,COMP‐16317,6600 Hidden Valley Road,Carlsbad,92011,Stationary Source,Odors,nan
1022,COMP‐16320,1250 Connecticut Street,Imperial Beach,91932,nan,nan,3/29/2017 17:00
1023,COMP‐16332,451 Commerce Circle,Mammoth Lakes,93546,Stationary Source,Odors,3/30/2017 17:00
1024,COMP‐16346,898 Monument Road,San Diego,92154,Stationary Source,Odors,4/1/2017 17:00
1025,COMP‐16350,2281 El Camino Avenue,Sacramento,95821,Stationary Source,Gas Stations,4/2/2017 22:19
1026,COMP‐36861,2100 Edsel Lane,Modesto,95358,Stationary Source,Other Stationary Sources,3/5/2018 16:00
1027,COMP‐36870,47100 Rainbow Canyon Road,Temecula,92592,nan,nan,3/6/2018 16:00
1028,COMP‐36896,15105 Camarillo Street,Los Angeles,91403,nan,nan,3/9/2018 3:00
1029,COMP‐36905,1302 Kettner Boulevard,San Diego,92101,Stationary Source,Odors,3/8/2018 15:30
1030,COMP‐36928,316 North Ford Boulevard,Los Angeles,90022,Stationary Source,Other Stationary Sources,3/11/2018 17:00
1031,COMP‐36930,120 North Aspan Avenue,Azusa,91702,Vehicle,Trucks,3/11/2018 17:00
1032,COMP‐36932,9320 Lurline Avenue,Los Angeles,91311,Stationary Source,Smoke,3/11/2018 17:00
1033,COMP‐36939,7943 Haskell Avenue,Los Angeles,91406,Stationary Source,Odors,3/7/2018 16:00
1034,COMP‐36961,1585 Roger Street,Milpitas,95035,Vehicle,Trucks,3/13/2018 6:00
1035,COMP‐36969,nan,nan,nan,Vehicle,Trucks,3/12/2018 17:00
1036,COMP‐36971,nan,nan,nan,Vehicle,Trucks,3/12/2018 17:00
1037,COMP‐36973,nan,nan,nan,Vehicle,Trucks,3/12/2018 17:00
1038,COMP‐36975,216 West Market Street,Salinas,93901,Vehicle,Trucks,3/12/2018 17:00
1039,COMP‐36977,nan,Calipatria,92233,nan,nan,3/10/2018 17:00
1040,COMP‐36981,nan,Lakeside,92040,Vehicle,Trucks,nan
1041,COMP‐37048,nan,Orange,92869,nan,nan,3/15/2018 17:00
1042,COMP‐37052,nan,Chula Vista,91910,nan,nan,3/16/2018 17:00
1043,COMP‐37058,nan,Los Angeles,90038,nan,nan,3/17/2018 17:00
1044,COMP‐37071,nan,Sacramento,95829,Stationary Source,Smoke,3/19/2018 17:00
1045,COMP‐37074,nan,San Luis Obispo,93401,Stationary Source,Asbestos,3/20/2018 1:00
1046,COMP‐37084,nan,Sacramento,95821,Stationary Source,Gas Stations,9/3/2017 17:00
1047,COMP‐37106,356 4th Avenue,Los Angeles,90291,Stationary Source,Asbestos,3/17/2018 17:00
1048,COMP‐37110,140 North Louise Street,Glendale,91206,Stationary Source,Other Stationary Sources,nan
1049,COMP‐37129,117 South Ione Street,Ione,95640,nan,nan,nan
1050,COMP‐37135,1448 Birchtree Court,Rosamond,93560,Stationary Source,Dust,3/20/2018 5:00
1051,COMP‐37158,nan,Milpitas,95035,Stationary Source,Other Stationary Sources,3/27/2018 17:00
1052,COMP‐37160,1965 Camargo Drive,San Jose,95132,Stationary Source,Odors,3/27/2018 13:00
1053,COMP‐37164,2300 Northpoint Parkway,Santa Rosa,95407,Stationary Source,Dust,3/28/2018 17:00
1054,COMP‐37167,600 South Abel Street,Milpitas,95035,Stationary Source,Odors,3/28/2018 17:00
1055,COMP‐37169,476 Maple Avenue,Milpitas,95035,nan,nan,3/29/2018 11:00
1056,COMP‐37171,2345 South Grove Avenue,Ontario,91761,Stationary Source,Dust,3/29/2018 17:00
1057,COMP‐37180,872 Alfalfa Plant Road,Courtland,95615,Stationary Source,Dust,3/5/2018 16:00
1058,COMP‐37184,1400 7th Street,Oakland,94607,Stationary Source,Other Stationary Sources,nan
1059,COMP‐37203,2530 South Birch Street,Santa Ana,92707,Vehicle,Cars,nan
1060,COMP‐37220,nan,nan,nan,Vehicle,Trucks,4/2/2018 17:00
1061,COMP‐37222,nan,nan,nan,Vehicle,Trucks,4/2/2018 17:00
1062,COMP‐37224,11859 Wilshire Boulevard,Los Angeles,90025,nan,nan,4/2/2018 17:00
1063,COMP‐37226,11859 Wilshire Boulevard,Los Angeles,90025,Stationary Source,Odors,4/3/2018 17:00
1064,COMP‐37229,170 Cleveland Lane,Ukiah,95482,Stationary Source,Odors,3/25/2018 17:00
1065,COMP‐37238,330 Wilson Avenue,Sacramento,95833,nan,nan,4/3/2018 17:00
1066,COMP‐37254,69 Duboce Avenue,San Francisco,94103,Vehicle,Other Vehicles,nan
1067,COMP‐37266,5055 Traffic Way,Atascadero,93422,Stationary Source,Odors,nan
1068,COMP‐37302,1525 McCandless Drive,Milpitas,95035,nan,nan,4/9/2018 2:00
1069,COMP‐37308,nan,nan,nan,Vehicle,Trucks,nan
1070,COMP‐37317,7216 55th Street,Sacramento,95823,Vehicle,Trucks,4/11/2018 8:34
1071,COMP‐37319,24906 Normandie Avenue,West Carson,90710,Stationary Source,Asbestos,nan
1072,COMP‐37323,225 West Avenue H,Lancaster,93535,Vehicle,Cars,4/11/2018 10:00
1073,COMP‐37336,18381 Goldenwest Street,Huntington Beach,92648,Stationary Source,Dust,4/11/2018 17:00
1074,COMP‐37341,nan,Rocklin,95677,Vehicle,Cars,4/12/2018 7:00
1075,COMP‐37345,220 North Kenwood Street,Glendale,91206,Stationary Source,Asbestos,4/11/2018 17:00
1076,COMP‐37352,nan,nan,nan,nan,nan,4/12/2018 17:00
1077,COMP‐37359,6516 Mattos Lane,Sacramento,95829,Vehicle,Trucks,4/12/2018 17:00
1078,COMP‐37364,5832 15th Avenue,Sacramento,95820,nan,nan,nan
1079,COMP‐37370,15410 Citron Avenue,Fontana,92335,Vehicle,Cars,11/2/2017 9:00
1080,COMP‐37379,nan,Ventura,nan,nan,nan,4/14/2018 18:00
1081,COMP‐37381,223 North Jackson Street,Glendale,91206,Stationary Source,Asbestos,4/15/2018 17:00
1082,COMP‐37385,3950 Business Center Drive,Fairfield,94534,Stationary Source,Other Stationary Sources,4/14/2018 1:00
1083,COMP‐37389,19878 Eagle Canyon Road,Corona,92881,Stationary Source,Dust,4/16/2018 17:00
1084,COMP‐37391,3024 Burnap Avenue,Chico,95973,Vehicle,Off Road Equipment,2/28/2018 16:00
1085,COMP‐37395,7734 Girard Avenue,San Diego,92037,Stationary Source,Smoke,4/16/2018 17:00
1086,COMP‐37405,nan,nan,nan,Vehicle,Trucks,4/11/2018 6:00
1087,COMP‐37407,306 17th Street,Huntington Beach,92648,nan,nan,3/7/2018 1:00
1088,COMP‐37446,nan,Redway,95560,Stationary Source,Smoke,4/19/2018 17:00
1089,COMP‐37455,40 5th Avenue,Oakland,94606,Stationary Source,Dust,4/23/2018 0:00
1090,COMP‐37459,nan,Anaheim,92802,Vehicle,Other Vehicles,nan
1091,COMP‐37463,nan,nan,nan,Vehicle,nan,4/23/2018 3:35
1092,COMP‐37465,nan,San Jose,nan,Stationary Source,Smoke,4/22/2018 14:30
