,Complaint Number,Complaint Location Address,Complaint Location City,Complaint Location Zip Code,Vehicle or Stationary,Air Complaint Source Info,Date and Time of Occurrence
2438,COMP‐40573,nan,nan,nan,Stationary Source,Odors,10/20/2018 12:00
2439,COMP‐40574,6155 Parkway Drive,Crescent City,95531,Stationary Source,Other Stationary Sources,nan
2440,COMP‐40577,1818 Circle Drive,Eureka,95501,Stationary Source,Smoke,10/30/2018 13:30
2441,COMP‐40580,1376 Lassen Avenue,Milpitas,95035,nan,nan,10/31/2018 5:00
2442,COMP‐40581,184 Brandt Court,Milpitas,95035,nan,nan,10/31/2018 13:00
2443,COMP‐40584,130 North Phillipe Lane,Yreka,96097,Stationary Source,Smoke,10/31/2018 17:08
2444,COMP‐40585,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,11/1/2018 10:40
2445,COMP‐40586,275 Redwood Avenue,Milpitas,95035,Stationary Source,Odors,10/31/2018 11:00
2446,COMP‐40596,198 Sudbury Drive,Milpitas,95035,Stationary Source,Odors,11/1/2018 17:00
2447,COMP‐40597,921 East Lambert Road,La Habra,90631,nan,nan,11/1/2018 17:00
2448,COMP‐40598,2478 South Hills Valley Road,Orange Cove,93646,Stationary Source,Dust,nan
2449,COMP‐40599,1390 Market Street,San Francisco,94102,nan,nan,nan
2450,COMP‐40600,447 Great Mall Drive,Milpitas,95035,nan,nan,11/2/2018 17:00
2451,COMP‐40602,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,11/3/2018 8:30
2452,COMP‐40603,1718 Massena Avenue,Redondo Beach,90277,Stationary Source,Smoke,11/3/2018 11:00
2453,COMP‐40605,nan,Escondido,92026,Stationary Source,Other Stationary Sources,11/3/2018 17:00
2454,COMP‐40607,nan,Milpitas,95035,nan,nan,11/3/2018 17:00
2455,COMP‐40609,7600 West Manchester Avenue,Los Angeles,90293,Stationary Source,Painting,11/1/2018 17:00
2456,COMP‐40610,6464 Pine Drive,Coulterville,95311,Stationary Source,Other Stationary Sources,nan
2457,COMP‐40611,nan,nan,nan,nan,nan,nan
2458,COMP‐40613,nan,nan,nan,nan,nan,nan
2459,COMP‐40614,25000 Industrial Boulevard,Hayward,94545,Vehicle,Trucks,11/4/2018 16:00
2460,COMP‐40617,nan,Escondido,92026,Stationary Source,Other Stationary Sources,11/3/2018 17:00
2461,COMP‐40619,nan,nan,nan,nan,nan,11/5/2018 12:00
2462,COMP‐40622,1514 Michael Court,Milpitas,95035,Stationary Source,Odors,11/5/2018 7:00
2463,COMP‐40623,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,11/6/2018 8:30
2464,COMP‐40625,4030 East Morada Lane,Stockton,95212,nan,nan,3/6/2018 16:00
2465,COMP‐40628,nan,Escondido,92026,Stationary Source,Other Stationary Sources,11/3/2018 17:00
2466,COMP‐40631,nan,nan,nan,Stationary Source,Smoke,11/6/2018 12:00
2467,COMP‐40632,nan,nan,nan,nan,nan,11/6/2018 12:00
2468,COMP‐40634,1319 Rohnerville Road,Fortuna,95540,Stationary Source,Smoke,11/5/2018 16:00
2469,COMP‐40637,nan,Los Angeles,nan,Stationary Source,Smoke,11/8/2018 16:00
2470,COMP‐40638,1775 West Foothill Boulevard,Upland,91786,Stationary Source,Painting,10/25/2018 17:00
2471,COMP‐40642,1645 Parkway Drive,Crescent City,95531,Vehicle,Trucks,nan
2472,COMP‐40643,1645 Parkway Drive,Crescent City,95531,Vehicle,Other Vehicles,nan
2473,COMP‐40644,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,11/12/2018 8:00
2474,COMP‐40646,nan,Simi Valley,93063,Stationary Source,Smoke,11/8/2018 16:00
2475,COMP‐40647,1717 North Cherokee Avenue,Los Angeles,90028,Stationary Source,Odors,nan
2476,COMP‐40649,nan,Eureka,95503,Stationary Source,Asbestos,9/30/2018 17:00
2477,COMP‐40650,13 Tech Center Drive,Santa Ana,92705,Vehicle,Off Road Equipment,11/12/2018 23:15
2478,COMP‐40651,3404 North Millbrook Avenue,Fresno,93726,nan,nan,nan
2479,COMP‐40653,nan,nan,nan,nan,nan,11/8/2018 10:00
2480,COMP‐40654,nan,nan,nan,Stationary Source,Dust,11/16/2018 11:00
2481,COMP‐40655,nan,nan,nan,nan,nan,11/11/2018 14:00
2482,COMP‐40656,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,11/13/2018 8:00
2483,COMP‐40658,4229 East Los Angeles Avenue,Simi Valley,93063,nan,nan,nan
2484,COMP‐40659,nan,nan,nan,nan,nan,11/11/2018 13:41
2485,COMP‐40660,1824 Hunt Avenue,Modesto,95350,Stationary Source,Other Stationary Sources,11/14/2018 1:30
2486,COMP‐40661,nan,Douglas City,96024,Stationary Source,nan,11/10/2018 16:00
2487,COMP‐40662,nan,Oroville,nan,nan,nan,11/13/2018 16:00
2488,COMP‐40665,15261 Legendary Drive,Moreno Valley,92555,Stationary Source,Other Stationary Sources,nan
2489,COMP‐40666,nan,Douglas City,96024,Stationary Source,nan,11/10/2018 16:00
2490,COMP‐40667,nan,Carlsbad,92010,Stationary Source,nan,11/13/2018 16:00
2491,COMP‐40671,123 main,nan,nan,nan,nan,11/14/2018 16:00
2492,COMP‐40675,nan,Escondido,92026,Stationary Source,Other Stationary Sources,11/3/2018 17:00
2493,COMP‐40683,198 Sudbury Drive,Milpitas,95035,nan,nan,11/15/2018 16:00
2494,COMP‐40684,13030 Bradley Avenue,Los Angeles,91342,Stationary Source,Odors,11/16/2018 12:00
2495,COMP‐40688,nan,Paramount,90723,Stationary Source,Other Stationary Sources,11/30/2016 16:00
2496,COMP‐40692,nan,nan,nan,nan,nan,11/16/2018 8:30
2497,COMP‐40693,nan,nan,nan,nan,nan,11/15/2018 17:30
2498,COMP‐40694,8240 Belvedere Avenue,Sacramento,95826,Stationary Source,Painting,11/15/2018 15:00
2499,COMP‐40695,nan,nan,nan,nan,nan,11/15/2018 17:00
2500,COMP‐40797,nan,nan,nan,nan,nan,11/15/2018 17:30
2501,COMP‐40898,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,11/20/2018 8:00
2502,COMP‐40901,7240 East,Potter Valley,95469,Stationary Source,Odors,4/27/2018 17:00
2503,COMP‐40902,828 I Street,Sacramento,95814,Stationary Source,Gas Stations,8/31/2018 17:00
2504,COMP‐40904,1840 South 7th Street,San Jose,95112,Stationary Source,Other Stationary Sources,6/30/2018 17:00
2505,COMP‐40906,18396 Jill Way ,Castro Valley,94546,Stationary Source,Other Stationary Sources,nan
2506,COMP‐40907,18396 Jill Way ,Castro Valley,94546,Stationary Source,Other Stationary Sources,nan
