favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
4,TweetDeck,"Alabama is ready, should the Ebola virus be identified in our state.
Details: http://t.co/7mbR8sdCd4
Video: http://t.co/TEjwCn9eFu",,False,Wed Oct 08 20:11:29 +0000 2014,6,519943182348718080
12,Twitter for iPhone,I'm looking forward to watching football today. We have some exciting games to watch this afternoon.,,False,Sat Oct 04 19:35:16 +0000 2014,3,518484515367714816
5,TweetDeck,"I am offering a $5,000 reward for info leading to a conviction in the murder of 8-year old Hiawayi Robinson.
Details: http://t.co/smXSpfJgqv",,False,Fri Sep 19 17:22:00 +0000 2014,39,513015160882360320
3,Twitter for iPhone,"With the announcement, SharkBite plumbing products will be stamped #MadeinAlabama by hardworking Alabamians and sold around the world.",,False,Mon Sep 08 15:22:10 +0000 2014,5,508998739064025088
4,Twitter for iPhone,"It will be a place where entrepreneurs can get details on licenses, taxes, loans, funding sources and insurance.",,False,Tue Oct 21 18:28:20 +0000 2014,0,524628268079927296
40,Twitter for iPhone,"Today I am proud to announce that Alabama will host its first @PGATOUR event, with an economic impact of $25 million. http://t.co/fpKk8O7CGW",,False,Mon Aug 11 21:07:07 +0000 2014,74,498938685438832640
9,Hootsuite,"From Winfield to Auburn, it’s always nice to get out &amp; meet the folks that make our state so special http://t.co/sTQBwpZaJe",,False,Sun Sep 28 00:16:07 +0000 2014,4,516018482085777408
2,Twitter for iPhone,"Furthermore, it will allow people to submit ideas and recommendations to the commission for consideration.",,False,Tue Oct 21 18:29:05 +0000 2014,0,524628455917641728
6,Twitter for iPhone,These physicians &amp; staff are the leaders at UAB who are ready to respond to a case of Ebola if a patient comes here. http://t.co/SyeCHFoe96,,False,Mon Oct 13 15:21:17 +0000 2014,8,521682091839598592
1,Hootsuite,"I really appreciate all the charitable work of the Monday Morning QB Club, they have raised millions of dollars to help children of AL.",,False,Mon Sep 22 17:21:26 +0000 2014,2,514102181109452800
2,Twitter for iPhone,"Dr. Bice: I am committing 100,000 sets of eyes to make sure students have a safe, secure environment in which to live and learn.",,False,Wed Sep 24 15:21:32 +0000 2014,2,514796784666038272
7,iOS,I am proud to help honor our First Responders this morning at Tuscaloosa's First Baptist Church. http://t.co/eEEUVcwdZX,,False,Sun Sep 21 17:32:23 +0000 2014,7,513742550768037888
3,TweetDeck,"August’s unemployment rate drop is good news for Alabama. We’ve seen more jobs, and those jobs are being filled by people who want to work.",,False,Fri Sep 19 13:02:04 +0000 2014,0,512949746051190784
3,Twitter for iPhone,Honored to have @SSEnergyBoard in Mobile for the 54th annual mtg. Starting off the morning w/ my Chairman's message. http://t.co/qqg5D9icQa,,False,Mon Sep 29 13:33:11 +0000 2014,6,516581456932765697
10,TweetDeck,I want to welcome auto supplier Bolta to Alabama bringing nearly 300 more jobs to Tuscaloosa. http://t.co/UkET6Pd4EB,,False,Thu Aug 07 20:36:19 +0000 2014,6,497481385180160001
2,Twitter for iPhone,"Tune in now, I'll be on the @MattMurphyShow in a couple of minutes.",,False,Tue Sep 23 12:31:40 +0000 2014,2,514391646780522496
7,Twitter for iPhone,Each person here means so much to the state of Alabama. You have each made an impact in your own way and you all deserve this honor.,,False,Mon Oct 27 16:50:59 +0000 2014,5,526778096675221504
3,Twitter for iPhone,I'll be live on @wvuatv just after 11. Join me on #CTKO,,False,Sat Oct 18 15:54:31 +0000 2014,3,523502392965623808
7,Twitter for iPad,"There is potential for severe weather this evening. Make sure you are weather aware, &amp; stay close to a source for weather updates. #alwx",,False,Mon Oct 13 22:57:41 +0000 2014,10,521796946756108288
7,TweetDeck,"Today I announced $70 million in repayment to the state's Rainy Day Fund.
Details: http://t.co/XggqhDyLFn",,False,Thu Oct 02 14:22:07 +0000 2014,8,517680933471002626
6,Hootsuite,Alabama’s First Class PreK is nationally recognized for its quality &amp; that’s because of the hard working teachers http://t.co/sXu5qukd7h,,False,Thu Oct 16 13:54:50 +0000 2014,2,522747500038729729
10,Twitter for iPhone,Without First Responders we would not have risen from the storms of the past to be a stronger state than we were before. #ReadyAL,,False,Fri Sep 12 15:44:34 +0000 2014,14,510453926853111808
11,Twitter for iPhone,There are no confirmed cases of Ebola in Alabama but we must be prepared should a case be identified. http://t.co/BwcTl3omdB,,False,Wed Oct 08 13:12:58 +0000 2014,14,519837861093601280
5,TweetDeck,I enjoyed getting to celebrate the opening of the Montgomery Area Food Bank's new warehouse yesterday. Video: http://t.co/qT7mBl9hVD,,False,Fri Aug 29 15:08:50 +0000 2014,1,505371504042065921
1,Twitter for iPhone,Enjoyed meeting the Lowry's of Baldwin Co at today's park opening. Ben grandson of my ABC administrator @GipsonMac http://t.co/Xzjj8hd2uz,,False,Sat Aug 16 17:56:49 +0000 2014,2,500702735122305025
3,Twitter for iPhone,Today I am excited to announce the official launch of the online training for persons mandated to report child abuse or neglect.,,False,Wed Sep 24 15:05:49 +0000 2014,5,514792827688353792
21,Twitter for iPhone,Stopped by the Coach's tailgate and visited with Coach Blakeny's family before the game. @TROYUNews http://t.co/CHYl4Exo9U,,False,Sat Oct 11 18:04:16 +0000 2014,23,520998329732583424
0,TweetDeck,Remarks from today's 9/11 Remembrance service and Ready Alabama Day celebration. Video: http://t.co/R31Dac2gU5,,False,Fri Sep 12 22:10:00 +0000 2014,0,510550923664703488
4,Twitter for iPhone,POLL: What's your favorite way to eat a watermelon?,,False,Sat Aug 09 19:07:31 +0000 2014,7,498183814045507585
4,Twitter for iPhone,It's an honor to be at the inaugural meeting of the Alabama Small Business Commission. http://t.co/WDbe2HUtsv,,False,Tue Oct 21 18:03:41 +0000 2014,3,524622062548443137
3,TweetDeck,Glad @RepByrne visited today. We talked about federal issues and issues affecting #AL01 http://t.co/3nRMQ2vd8S,,False,Tue Oct 21 15:23:14 +0000 2014,2,524581682612293632
3,Hootsuite,I watched an amazing video from Children’s of Alabama and saw the benefit of the donations from the MMQB Club http://t.co/gcYlMG52zA,,False,Mon Sep 22 17:35:03 +0000 2014,1,514105610347249664
11,TweetDeck,Today I was proud to announce the @BarbasolShave Championship as part of the @PGATOUR will happen in Alabama. Video: http://t.co/XlK0fUzUuK,,False,Tue Aug 12 01:19:57 +0000 2014,13,499002313416392704
5,Twitter for iPhone,Veterans issues have been in the news recently and there is no question that we can do more to help our veterans.,,False,Fri Oct 24 14:04:37 +0000 2014,1,525649065431040000
4,TweetDeck,"September’s rate represents 140,674 unemployed persons, compared to 147,248 in August.",,False,Fri Oct 17 13:21:10 +0000 2014,0,523101414206078978
2,Twitter for iPhone,Tune in now to the @mattmurphyshow as I join him live on @wapiradio.,,False,Fri Aug 15 12:35:47 +0000 2014,1,500259558263373825
4,TweetDeck,"We always enjoy having mascots from colleges around the state at the Capitol.
Photos: http://t.co/x0me37hb8z",,False,Fri Aug 22 20:52:06 +0000 2014,0,502921174322790400
4,Hootsuite,"Alabama is a manufacturing state with a strong work ethic &amp; commitment to productivity, welcome to AL SKF! http://t.co/A67N5SQWZh",,False,Mon Oct 20 14:28:33 +0000 2014,7,524205533071691776
1,Hootsuite,Dianne &amp; I are really looking forward to attending Winfield’s 40th Anniversary of Mule Day! http://t.co/5FupAYELY3,,False,Sat Sep 27 14:16:03 +0000 2014,0,515867468427186178
2,TweetDeck,"ICYMI: Alabama’s Unemployment Rate Drops to 6.6% in September. Details: http://t.co/VffuPTyowv 
Video: http://t.co/n9HikHKODi",,False,Fri Oct 17 20:30:07 +0000 2014,3,523209361858908161
2,TweetDeck,ICYMI: Here is video of today's Medal of Honor ceremony honoring CSM Bennie Adkins at the White House. CSPAN Link: http://t.co/dBb3iA3uEh,,False,Mon Sep 15 20:46:03 +0000 2014,3,511616960149196800
6,TweetDeck,I urge the Pres. to develop an energy policy that pursues affordable &amp; reliable energy that does not increase electricity bills or cut jobs.,,False,Wed Sep 10 19:36:23 +0000 2014,6,509787490740621313
24,TweetDeck,"I’ve directed flags lowered to half-staff to honor the lives lost as a result of the terror attacks on Sept 11, 2001. http://t.co/QTf1ThXNtR",,False,Thu Sep 11 15:35:19 +0000 2014,14,510089210569965568
6,Twitter for iPhone,Cutting the ribbon at the new @claytonhomes facility in Russellville. http://t.co/lU6M5zirpG,,False,Fri Aug 08 15:20:24 +0000 2014,4,497764267886927872
8,Twitter for iPhone,"To sustain and grow jobs, we must have reliable, secure and affordable energy.",,False,Mon Sep 29 13:38:47 +0000 2014,13,516582865602347008
9,Twitter for iPhone,Stopped by UAB @UAB News to discuss AL's preparedness for a case of Ebola. Our hospitals are equipped to respond. http://t.co/M6FPpwz1gG,,False,Mon Oct 13 15:18:50 +0000 2014,12,521681473288814592
3,Twitter for iPhone,Join us at 8am for a live press conference regarding Alabama's preparedness for Ebola. Link: http://t.co/O4u82Zdp5t,,False,Wed Oct 08 12:44:21 +0000 2014,8,519830655925223424
2,Twitter for iPhone,Proud to be cutting the ribbon at the opening of the final phase of the Baldwin Beach Express. http://t.co/Oc99Q961RA,,False,Fri Aug 15 20:24:37 +0000 2014,1,500377543858724864
3,Hootsuite,The new Cullman Co ATRIP Interchange will be located on I-65 at the 305 mile marker http://t.co/LtriEPbx6o,,False,Thu Oct 23 20:55:54 +0000 2014,1,525390178958204928
4,TweetDeck,Here is a video to explain why I created the Alabama Small Business Commission. LInk: http://t.co/Rda7WUBWjh,,False,Mon Sep 15 20:13:32 +0000 2014,6,511608779419701248
2,Hootsuite,In just a few minutes I will have the honor of recognizing Miss Homecoming @AuburnU http://t.co/INpbYtkShS,,False,Sat Sep 27 21:17:35 +0000 2014,0,515973550336118784
1,TweetDeck,The task force will review Federal Aviation Administration requirements for drone use in Alabama and establish the necessary guidelines.,,False,Fri Aug 22 18:50:08 +0000 2014,1,502890479546286081
2,Twitter for iPhone,The new website found on DHRs website will properly train persons mandated to report child abuse as well as the general public.,,False,Wed Sep 24 15:08:04 +0000 2014,5,514793397350318080
1,TweetDeck,"Partnering with us is the Assc. of County Commissions, League of Municipalities, Assc. of Chambers of Commerce and other key players.",,False,Mon Sep 15 16:23:33 +0000 2014,2,511550899723206656
11,Twitter for iPhone,I think Alabama's offense has made some adjustments and will look better today. The Bama defense has been playing great all season.,,False,Sat Oct 18 16:14:59 +0000 2014,3,523507545101828097
6,Twitter for iPhone,"96.8% of all employers in Alabama are small business owners. There are 400,000 small businesses in Alabama.",,False,Tue Oct 21 18:05:58 +0000 2014,8,524622635700088833
3,TweetDeck,"Alabama has almost 400,000 small businesses and they provide people with the opportunity to financially provide for their families.",,False,Mon Sep 15 16:19:02 +0000 2014,4,511549765373657088
3,TweetDeck,Dr. Waldrop and team updated me on how @UofSouthAlabama is advancing in the fields of health and econ development. http://t.co/jF4NimGK1k,,False,Fri Aug 22 21:49:21 +0000 2014,2,502935579555037187
4,TweetDeck,"Counties with high unemployement rates: Monroe, Dallas, Sumter, Wilcox and Perry saw their rates drop more than two percentage points.",,False,Fri Oct 17 13:27:50 +0000 2014,0,523103093735436288
1,TweetDeck,New @al_labor Commissioner Fitzgerald Washington responds to questions following his swearing-in. Video: http://t.co/IviD7cKCXP,,False,Mon Aug 04 20:33:55 +0000 2014,1,496393618643767296
10,Hootsuite,I’m excited to be in Auburn for their homecoming and talking with the guys on @AuburnIMGSports http://t.co/Tq3IMvM44O,,False,Sat Sep 27 18:50:41 +0000 2014,8,515936582197862400
8,TweetDeck,"Headed to Opelika this morning, looking forward to making a great economic development announcement providing more jobs for Alabamians.",,False,Wed Aug 20 14:35:34 +0000 2014,6,502101640644919297
4,Twitter for iPhone,"In the SSEB @SSEnergyBoard region, states produce over 1/2 of the US domestic energy supply, serving nearly 40% of the nation's population.",,False,Mon Sep 29 13:36:54 +0000 2014,8,516582392031875072
1,TweetDeck,"It was a pleasure to meet today with Dr. Dieter Zetsche, Chairman of the Board of Management of Daimler AG. http://t.co/C00vvdbq2w",,False,Fri Sep 05 21:59:29 +0000 2014,1,508011561953525761
4,TweetDeck,The jobs employers reported in Sept is the highest since Dec 2008 thanks to the strong econ dev efforts we have put in place to create jobs.,,False,Fri Oct 17 13:23:30 +0000 2014,2,523102001651937280
7,Twitter for iPhone,I enjoyed meeting some of the children who will enjoy the new Fairhope Community Park. http://t.co/KZmfcS3ibm,,False,Sat Aug 16 16:55:40 +0000 2014,3,500687346137067520
1,Twitter for iPhone,A+ College Ready is a good investment that is preparing our students for the jobs of tomorrow.,,False,Wed Aug 27 15:10:11 +0000 2014,2,504647068389232640
1,Hootsuite,I have issued a statement regarding the fatalities at the UPS center in Birmingham. Details: http://t.co/i4Blpjao11,,False,Tue Sep 23 17:30:36 +0000 2014,6,514466875074301952
